"learner_id","market","grade","decile","sen","pseudonym"
"cedd0019-0b50-408f-8ccb-48e5bf8f8d26","DE","7","8","True","L-02283"
"0d28916d-7ee9-40d7-96f9-f77175bdc6ed","DE","7","6","False","L-73539"
"d42a7179-0642-4c78-8bf5-94d4e535a480","DE","7","9","False","L-31771"
"03a6bb49-144c-44ee-8d30-968702472123","DE","7","5","False","L-09243"
"b3388b3e-4b17-4a19-b52c-6e24a7d865a0","DE","7","10","False","L-18499"
"b1408752-b68f-4c88-ba0c-83845d2aa0dd","NL","7","6","False","L-89008"
"f5dc7af7-6d7d-4211-8e5a-3d6d2e889fd4","NL","7","8","True","L-04229"
"f27dcb7b-29c0-4b7c-afb9-f94b092dbf48","DE","7","4","False","L-06851"
"c0e0a4b9-50e3-4d8e-8889-742e5e768499","DE","7","5","True","L-99675"
"a01bb70d-9e45-4967-9fd0-246e80d96ebb","NL","7","6","False","L-61244"
"5d69d171-990b-4644-a8c9-d5c850dd3f32","DE","7","5","False","L-41745"
"b59a217e-6ad4-4cfd-9d25-b1d0acc47b96","NL","7","7","True","L-33342"
"a06d9830-628c-482c-b696-2773af760a6f","DE","7","5","True","L-22952"
"3fcab958-9419-418e-a1c1-95e738e66b29","NL","7","8","False","L-61915"
"cc4c8ab0-7e94-4510-8a38-c9017d5ee449","NL","7","1","False","L-31795"
"f043a635-fb8f-4ed3-9258-7e243970395a","DE","7","9","False","L-46410"
"32135543-cbbe-470f-81ea-313c410d3ce3","NL","7","10","False","L-24591"
"ba7bb1fc-39be-4d81-ba1b-d051cc9ba200","NL","7","10","False","L-87545"
"a89c1d71-c603-4148-9275-4e9940f37fe3","DE","7","3","True","L-75055"
"7d1a0fdd-7bfd-4c7e-b2af-44bf4f199bc9","DE","7","9","True","L-82709"
"ce973ca8-45bf-4e12-8003-2ac51edee09c","DE","7","1","True","L-25553"
"61481dbe-4516-41ec-8a42-ae810491fea4","DE","7","8","False","L-53391"
"9fc8d70c-31bf-49b6-8949-d01dac24a0ed","NL","7","3","False","L-28542"
"2c144bbc-bb13-4d87-b53a-7b9166916f06","DE","7","3","False","L-61076"
"d3954bd8-6a59-4455-b19c-1b9113058066","NL","7","7","False","L-14282"
"e9ba847e-8453-450d-b243-a1c571f85695","DE","7","8","False","L-36204"
"a65042a9-b399-4ae9-9251-6ebf1f472f3e","DE","7","9","False","L-82064"
"a72f96cd-b5a8-42ea-b2c5-6bbb925630cb","NL","7","4","False","L-51200"
"7adbbd67-aee2-4b40-a609-be4964a1c74a","DE","7","7","False","L-80216"
"8cbb6f9e-e3d6-4ece-8582-857c8f7eda44","DE","7","3","False","L-93664"
"0411e8dc-530d-44d1-9ded-8c8d29d1870f","NL","7","5","True","L-02268"
"e5b89d4d-527f-4296-bb4d-a3d42e53698f","NL","7","10","False","L-19715"
"1b5c8cbe-4326-430d-804a-9dab4c1fc6a4","DE","7","1","False","L-89131"
"60e54610-e2be-41e3-b6af-a3308b0e2560","NL","7","10","False","L-72091"
"18409619-6e69-4c38-ad73-7ea9a99599db","DE","7","3","False","L-22067"
"9505e269-ad17-45f6-8aa4-192ad1d98f2b","NL","7","8","False","L-76277"
"79fe0793-e00e-463d-a2ba-a0100e05d61a","DE","7","8","False","L-76622"
"014334e8-4ac9-4157-84aa-9086128e8801","NL","7","10","False","L-47605"
"9725a79a-7385-4a64-9b81-a7e9b71eb50d","DE","7","6","False","L-96650"
"1ffef82e-4702-4388-b1a6-6c2505c196c8","DE","7","2","True","L-26530"
"1e744610-b34c-407b-8c16-0f2405e0700e","DE","7","5","True","L-72108"
"377f9fba-1152-4a26-bf18-4fecde562e5b","DE","7","3","False","L-88822"
"41ecc61e-571a-40d3-ab27-3b88a270d2cb","NL","7","10","True","L-09234"
"f69e13db-6edf-420b-9eb5-e87a8fe2f4f4","DE","7","9","False","L-85333"
"3e174aec-2feb-4cd3-8f07-6241c76bf12b","NL","7","4","False","L-25015"
"6d8ba1af-cce9-4b40-b7d2-912d31f72215","DE","7","9","False","L-90505"
"4f342710-6cee-43de-bdb8-d85d9fd2561f","DE","7","6","False","L-24851"
"fef24d54-67a4-49be-9e5a-7a36e4a5c81a","NL","7","3","True","L-97561"
"fc19b153-d7f2-46d2-817a-2cfa9a2e1af9","NL","7","3","True","L-50466"
"fd839ff0-72be-4e12-ac46-389120c39db3","DE","7","5","False","L-83824"
